Vrest,Upstroke,Vpeak,APD20,APD40,APD50,APD90,TriAP,DCai,Capeak,CaD50,CaD90,TriCa,dCa,GKr_0.06__Label,PCa_15.13__Label
-88.022,49.643,37.451,158.32,224.45,244.49,314.63,70.14,0.00034311,0.00040515,156.31,416.83,260.52,6.267e-05,1,1
-87.849,56.269,38.823,122.24,200.4,220.44,288.58,68.136,0.00035608,0.00042829,200.4,513.03,312.63,7.4932e-05,0,0
-87.91,53.943,38.383,136.27,190.38,206.41,266.53,60.12,0.00051191,0.00063098,214.43,551.1,336.67,0.00012421,1,1
-87.895,53.675,37.734,126.25,182.36,196.39,240.48,44.088,0.00050921,0.00055665,156.31,416.83,260.52,4.9302e-05,1,1
-88.13,58.215,41.479,90.18,134.27,148.3,198.4,50.1,0.00037404,0.00042677,144.29,336.67,192.38,5.273e-05,0,0
-88.259,53.866,37.452,146.29,214.43,232.46,290.58,58.116,0.00037722,0.00043489,152.3,412.83,260.52,5.8789e-05,0,0
-88.1,57.347,40.88,92.184,138.28,150.3,196.39,46.092,0.00021016,0.00029749,232.46,547.09,314.63,8.9105e-05,0,0
-88.146,53.371,38.431,154.31,240.48,262.53,340.68,78.156,0.00050351,0.00057283,176.35,470.94,294.59,7.2227e-05,1,1
-87.894,53.271,35.593,134.27,190.38,208.42,262.53,54.108,0.00023318,0.00030405,262.53,591.18,328.66,7.3595e-05,1,1
-88.041,54.592,37.014,138.28,204.41,224.45,282.57,58.116,0.00030544,0.00039395,178.36,444.89,266.53,8.9352e-05,1,1
-88.347,51.639,39.676,132.26,192.38,204.41,256.51,52.104,0.00034278,0.00040715,218.44,531.06,312.63,6.7295e-05,1,1
-87.818,52.898,37.877,122.24,172.34,184.37,226.45,42.084,0.00027886,0.00036416,236.47,557.11,320.64,8.79e-05,0,0
-87.915,52.156,37.455,126.25,178.36,194.39,244.49,50.1,0.00041955,0.0004901,204.41,527.05,322.65,7.4247e-05,0,0
-87.686,54.311,38.831,130.26,190.38,208.42,264.53,56.112,0.0003604,0.0004474,240.48,591.18,350.7,9.1638e-05,1,1
-87.98,52.487,37.424,148.3,220.44,238.48,296.59,58.116,0.00036916,0.00044583,206.41,519.04,312.63,7.9436e-05,1,1
-87.961,52.094,39.394,136.27,190.38,204.41,262.53,58.116,0.00036011,0.00046775,236.47,583.17,346.69,0.00011211,0,0
-88.009,52.952,36.078,144.29,220.44,238.48,300.6,62.124,0.0004936,0.00056417,136.27,372.75,236.47,7.1412e-05,1,1
-87.932,54.059,39.816,166.33,250.5,278.56,360.72,82.164,0.00026149,0.00034716,278.56,617.23,338.68,8.9181e-05,1,1
-87.819,56.392,40.981,156.31,240.48,262.53,342.69,80.16,0.00048783,0.00056899,200.4,513.03,312.63,8.484e-05,1,1
-88.023,56.162,39.547,152.3,230.46,250.5,310.62,60.12,0.00023033,0.00029895,224.45,539.08,314.63,7.051e-05,1,0
